id,target,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
523T0KGIWNKIJ9P,1,-4.566721134462472,3.7748057053540305,-4.879715456602391,-2.351269259989561,-0.3578874899066634,-4.515092163843959,1.2038463999290472,0.05519090416622183,6.291276784266971,-0.896702423241134,-1.803295513028941,3.22309916479833
A7GO61NB4SVQVMW,0,-1.6045449181362903,4.100898786894206,-7.144572273693356,0.31778545183311835,7.5227560233830735,-0.12703258852768895,0.36283732676529357,-0.6027379929339242,4.297218321702505,0.2622075494349365,-3.4870234103752695,2.9830605420426513
7DJDYRQ2P0RQ2HF,0,-2.530209232757632,-2.6618500597933736,-2.680723940410459,2.3388353325541806,-0.3996528970612057,-0.7931687833668832,4.961608647056571,3.0432183638987356,-1.5658432883510733,-1.4131928430158625,-0.47157907909214625,1.3930617227395137
RF11AE0D4MOII5H,0,-0.44028821366327653,-2.608464490580862,-1.7524284925694928,2.5692149256251864,-1.9852621096474463,2.4409008988515595,5.542982170439077,2.6013070525100948,3.6476985787968914,-2.787995909763829,-0.7632020677049218,1.5845268680745959
QZBXCRJ85E0626O,0,2.1096963621990366,-4.847295129366509,-0.11373948828212312,-1.8133340422612247,1.6861442508194935,1.41433883191965,-1.9216161285871265,2.760594203563323,-3.6264879911970507,-1.9222551297284358,6.283179274464652,0.05522880252894896
7WMZB5L6D85COKA,0,-2.7576940534043257,-1.7082031093142134,-1.9847159950409798,-0.18690729428476632,0.8410113681845759,3.402173296082715,-4.450543701061108,-3.2839738270255756,-1.2502026426831154,-0.10318135177801979,4.2261192427172976,-2.2752745572313833
ZWJD2Y9Q75J5WUS,0,0.9034195328930434,-1.0582881061600282,3.375269872535701,-4.497853188869371,0.027557298555502763,-6.742555538271862,-0.5358064665762704,0.8829477815974462,-1.6760784511343476,1.0084773451501086,1.6342546726220193,0.2061015919268258
LTT1T42B1PTCKRH,1,-2.6948239077675304,-1.1376610752252747,-0.2780956576336527,5.65179344970389,4.342634952519839,-1.9932458250224472,-1.157656987083357,-1.2922950511131608,-2.018215787247651,-0.4695739311899348,2.1029967938026877,-1.1202083998012302
O59C1R1VO33DZDG,1,0.4937305699132297,2.4586085308195336,0.02698660741826582,3.3653448375947748,-2.977290208208171,-4.431404189230319,-1.5745802502601636,-3.0670115394012862,4.287980023585357,2.459588256305012,-4.245506110861161,5.332248554637049
LE9WEKNDXHW9BA5,0,3.7487488717927517,0.4599825445986083,-3.866221727754857,-2.709401952184334,3.465233248139371,-3.05795143865092,3.536962761715645,5.016958232061152,5.212869548742541,2.3220618063130556,2.4743370179743813,-1.5512613467585483
EJWW132NA1YVAF8,0,4.4081431409468035,1.3956663856230653,-0.8279001325215096,0.9902572824885297,2.2674750579069176,1.2234521775192357,-3.2584485613774494,-2.2316164484719616,0.6209366381111137,2.3203370432827763,2.0935447508964566,-7.557484697903277
TNRKXVEI2OLADOA,0,6.847912615916179,-0.25938267309188134,-1.645085762353418,3.9097734979942804,-1.1691353931856256,2.734840179929883,-0.616757116814681,5.639689656098911,-0.7119808622029706,-0.9162354292242804,-1.4411461769746083,-6.298566419632503
